Openness	Species	Type
84	Greylag	Fieldobs
95	Greylag	Fieldobs
94	Greylag	Fieldobs
142	Greylag	Fieldobs
134	Greylag	Fieldobs
134	Greylag	Fieldobs
98	Greylag	Fieldobs
128	Greylag	Fieldobs
126	Greylag	Fieldobs
145	Greylag	Fieldobs
98	Greylag	Fieldobs
134	Greylag	Fieldobs
134	Greylag	Fieldobs
127	Greylag	Fieldobs
203	Greylag	Fieldobs
265	Greylag	Fieldobs
84	Greylag	Fieldobs
58	Greylag	Fieldobs
127	Greylag	Fieldobs
138	Greylag	Fieldobs
206	Greylag	Fieldobs
59	Greylag	Fieldobs
95	Greylag	Fieldobs
98	Greylag	Fieldobs
223	Greylag	Fieldobs
127	Greylag	Fieldobs
94	Greylag	Fieldobs
138	Greylag	Fieldobs
134	Greylag	Fieldobs
263	Greylag	Fieldobs
152	Greylag	Fieldobs
84	Greylag	Fieldobs
49	Greylag	Fieldobs
134	Greylag	Fieldobs
113	Greylag	Fieldobs
217	Greylag	Fieldobs
207	Greylag	Fieldobs
134	Greylag	Fieldobs
94	Greylag	Fieldobs
127	Greylag	Fieldobs
217	Greylag	Fieldobs
142	Greylag	Fieldobs
98	Greylag	Fieldobs
61	Greylag	Fieldobs
61	Greylag	Fieldobs
49	Greylag	Fieldobs
217	Greylag	Fieldobs
145	Greylag	Fieldobs
98	Greylag	Fieldobs
66	Greylag	Fieldobs
52	Greylag	Fieldobs
61	Greylag	Fieldobs
217	Greylag	Fieldobs
265	Greylag	Fieldobs
98	Greylag	Fieldobs
61	Greylag	Fieldobs
134	Greylag	Fieldobs
134	Greylag	Fieldobs
265	Greylag	Fieldobs
142	Greylag	Fieldobs
142	Greylag	Fieldobs
98	Greylag	Fieldobs
94	Greylag	Fieldobs
126	Greylag	Fieldobs
207	Greylag	Fieldobs
127	Greylag	Fieldobs
128	Greylag	Fieldobs
217	Greylag	Fieldobs
94	Greylag	Fieldobs
94	Greylag	Fieldobs
128	Greylag	Fieldobs
133	Greylag	Fieldobs
65	Greylag	Fieldobs
195	Greylag	Fieldobs
126	Greylag	Fieldobs
121	Greylag	Fieldobs
101	Greylag	Fieldobs
217	Greylag	Fieldobs
98	Greylag	Fieldobs
217	Greylag	Fieldobs
127	Greylag	Fieldobs
127	Greylag	Fieldobs
126	Greylag	Fieldobs
121	Greylag	Fieldobs
142	Greylag	Fieldobs
94	Greylag	Fieldobs
134	Greylag	Fieldobs
90	Greylag	Fieldobs
102	Greylag	Fieldobs
135	Greylag	Fieldobs
94	Greylag	Fieldobs
142	Greylag	Fieldobs
201	Greylag	Fieldobs
126	Greylag	Fieldobs
134	Greylag	Fieldobs
95	Greylag	Fieldobs
76	Greylag	Fieldobs
127	Greylag	Fieldobs
126	Greylag	Fieldobs
207	Greylag	Fieldobs
263	Greylag	Fieldobs
265	Greylag	Fieldobs
265	Greylag	Fieldobs
217	Greylag	Fieldobs
127	Greylag	Fieldobs
98	Greylag	Fieldobs
192	Greylag	Fieldobs
209	Greylag	Fieldobs
128	Greylag	Fieldobs
134	Greylag	Fieldobs
126	Greylag	Fieldobs
94	Greylag	Fieldobs
113	Greylag	Fieldobs
61	Greylag	Fieldobs
72	Greylag	Fieldobs
138	Greylag	Fieldobs
142	Greylag	Fieldobs
98	Greylag	Fieldobs
76	Greylag	Fieldobs
132	Greylag	Fieldobs
127	Greylag	Fieldobs
92	Greylag	Fieldobs
158	Greylag	Fieldobs
200	Greylag	Fieldobs
95	Greylag	Fieldobs
142	Greylag	Fieldobs
134	Greylag	Fieldobs
169	Greylag	Fieldobs
112	Greylag	Fieldobs
95	Greylag	Fieldobs
94	Greylag	Fieldobs
76	Greylag	Fieldobs
94	Greylag	Fieldobs
102	Greylag	Fieldobs
192	Greylag	Fieldobs
132	Greylag	Fieldobs
124	Greylag	Fieldobs
152	Greylag	Fieldobs
127	Greylag	Fieldobs
134	Greylag	Fieldobs
263	Greylag	Fieldobs
97	Greylag	Fieldobs
127	Greylag	Fieldobs
87	Greylag	Fieldobs
132	Greylag	Fieldobs
135	Greylag	Fieldobs
132	Greylag	Fieldobs
192	Greylag	Fieldobs
75	Greylag	Fieldobs
127	Greylag	Fieldobs
134	Greylag	Fieldobs
206	Greylag	Fieldobs
98	Greylag	Fieldobs
192	Greylag	Fieldobs
94	Greylag	Fieldobs
145	Greylag	Fieldobs
192	Greylag	Fieldobs
105	Greylag	Fieldobs
105	Greylag	Fieldobs
265	Greylag	Fieldobs
94	Greylag	Fieldobs
201	Greylag	Fieldobs
761	Barnacle	Fieldobs
263	Barnacle	Fieldobs
301	Barnacle	Fieldobs
300	Barnacle	Fieldobs
192	Barnacle	Fieldobs
232	Barnacle	Fieldobs
115	Barnacle	Fieldobs
133	Barnacle	Fieldobs
376	Barnacle	Fieldobs
135	Barnacle	Fieldobs
406	Barnacle	Fieldobs
263	Barnacle	Fieldobs
206	Barnacle	Fieldobs
497	Barnacle	Fieldobs
263	Barnacle	Fieldobs
148	Barnacle	Fieldobs
153	Barnacle	Fieldobs
406	Barnacle	Fieldobs
113	Barnacle	Fieldobs
164	Barnacle	Fieldobs
132	Barnacle	Fieldobs
112	Barnacle	Fieldobs
175	Barnacle	Fieldobs
134	Barnacle	Fieldobs
95	Barnacle	Fieldobs
135	Barnacle	Fieldobs
149	Barnacle	Fieldobs
277	Barnacle	Fieldobs
192	Barnacle	Fieldobs
188	Barnacle	Fieldobs
157	Barnacle	Fieldobs
265	Barnacle	Fieldobs
405	Barnacle	Fieldobs
220	Barnacle	Fieldobs
121	Barnacle	Fieldobs
263	Barnacle	Fieldobs
119	Barnacle	Fieldobs
112	Barnacle	Fieldobs
145	Barnacle	Fieldobs
247	Barnacle	Fieldobs
217	Barnacle	Fieldobs
199	Barnacle	Fieldobs
207	Barnacle	Fieldobs
137	Barnacle	Fieldobs
241	Barnacle	Fieldobs
227	Barnacle	Fieldobs
92	Barnacle	Fieldobs
241	Barnacle	Fieldobs
116	Barnacle	Fieldobs
134	Barnacle	Fieldobs
108	Barnacle	Fieldobs
103	Barnacle	Fieldobs
188	Barnacle	Fieldobs
236	Barnacle	Fieldobs
132	Barnacle	Fieldobs
224	Barnacle	Fieldobs
51	Barnacle	Fieldobs
158	Barnacle	Fieldobs
322	Barnacle	Fieldobs
92	Barnacle	Fieldobs
406	Barnacle	Fieldobs
192	Barnacle	Fieldobs
437	Barnacle	Fieldobs
135	Barnacle	Fieldobs
115	Barnacle	Fieldobs
135	Barnacle	Fieldobs
109	Barnacle	Fieldobs
207	Barnacle	Fieldobs
192	Barnacle	Fieldobs
90	Barnacle	Fieldobs
94	Barnacle	Fieldobs
219	Barnacle	Fieldobs
263	Barnacle	Fieldobs
265	Barnacle	Fieldobs
154	Barnacle	Fieldobs
408	Barnacle	Fieldobs
120	Barnacle	Fieldobs
207	Barnacle	Fieldobs
192	Barnacle	Fieldobs
205	Barnacle	Fieldobs
295	Barnacle	Fieldobs
406	Barnacle	Fieldobs
213	Barnacle	Fieldobs
206	Barnacle	Fieldobs
105	Barnacle	Fieldobs
166	Barnacle	Fieldobs
196	Barnacle	Fieldobs
106	Barnacle	Fieldobs
152	Barnacle	Fieldobs
84	Barnacle	Fieldobs
134	Barnacle	Fieldobs
134	Barnacle	Fieldobs
263	Barnacle	Fieldobs
265	Barnacle	Fieldobs
331	Barnacle	Fieldobs
93	Barnacle	Fieldobs
407	Barnacle	Fieldobs
217	Barnacle	Fieldobs
209	Barnacle	Fieldobs
80	Barnacle	Fieldobs
134	Barnacle	Fieldobs
95	Barnacle	Fieldobs
157	Barnacle	Fieldobs
134	Barnacle	Fieldobs
133	Barnacle	Fieldobs
120	Barnacle	Fieldobs
94	Barnacle	Fieldobs
134	Barnacle	Fieldobs
263	Barnacle	Fieldobs
95	Barnacle	Fieldobs
134	Barnacle	Fieldobs
102	Barnacle	Fieldobs
109	Barnacle	Fieldobs
101	Barnacle	Fieldobs
76	Barnacle	Fieldobs
127	Barnacle	Fieldobs
105	Barnacle	Fieldobs
152	Barnacle	Fieldobs
102	Barnacle	Fieldobs
146	Barnacle	Fieldobs
90	Barnacle	Fieldobs
92	Barnacle	Fieldobs
217	Barnacle	Fieldobs
265	Barnacle	Fieldobs
112	Barnacle	Fieldobs
84	Barnacle	Fieldobs
217	Barnacle	Fieldobs
263	Barnacle	Fieldobs
102	Barnacle	Fieldobs
173	Barnacle	Fieldobs
349	Barnacle	Fieldobs
99	Barnacle	Fieldobs
102	Barnacle	Fieldobs
209	Barnacle	Fieldobs
157	Barnacle	Fieldobs
405	Barnacle	Fieldobs
105	Barnacle	Fieldobs
77	Barnacle	Fieldobs
115	Barnacle	Fieldobs
207	Barnacle	Fieldobs
145	Barnacle	Fieldobs
135	Barnacle	Fieldobs
149	Barnacle	Fieldobs
84	Barnacle	Fieldobs
93	Barnacle	Fieldobs
408	Barnacle	Fieldobs
102	Barnacle	Fieldobs
145	Barnacle	Fieldobs
72	Barnacle	Fieldobs
143	Barnacle	Fieldobs
128	Barnacle	Fieldobs
265	Barnacle	Fieldobs
251	Barnacle	Fieldobs
542	Barnacle	Fieldobs
142	Barnacle	Fieldobs
136	Barnacle	Fieldobs
105	Barnacle	Fieldobs
281	Barnacle	Fieldobs
245	Barnacle	Fieldobs
155	Barnacle	Fieldobs
116	Barnacle	Fieldobs
152	Barnacle	Fieldobs
192	Barnacle	Fieldobs
189	Barnacle	Fieldobs
133	Barnacle	Fieldobs
95	Barnacle	Fieldobs
166	Barnacle	Fieldobs
95	Barnacle	Fieldobs
243	Barnacle	Fieldobs
94	Barnacle	Fieldobs
163	Barnacle	Fieldobs
387	Barnacle	Fieldobs
300	Barnacle	Fieldobs
405	Barnacle	Fieldobs
68	Barnacle	Fieldobs
131	Barnacle	Fieldobs
120	Barnacle	Fieldobs
129	Barnacle	Fieldobs
134	Barnacle	Fieldobs
178	Barnacle	Fieldobs
101	Barnacle	Fieldobs
263	Barnacle	Fieldobs
206	Barnacle	Fieldobs
265	Barnacle	Fieldobs
156	Barnacle	Fieldobs
98	Barnacle	Fieldobs
95	Barnacle	Fieldobs
196	Barnacle	Fieldobs
42	Barnacle	Fieldobs
138	Barnacle	Fieldobs
97	Barnacle	Fieldobs
192	Barnacle	Fieldobs
406	Barnacle	Fieldobs
113	Barnacle	Fieldobs
263	Barnacle	Fieldobs
134	Barnacle	Fieldobs
95	Barnacle	Fieldobs
118	Barnacle	Fieldobs
166	Barnacle	Fieldobs
203	Barnacle	Fieldobs
145	Barnacle	Fieldobs
263	Barnacle	Fieldobs
98	Barnacle	Fieldobs
282	Barnacle	Fieldobs
263	Barnacle	Fieldobs
78	Barnacle	Fieldobs
297	Barnacle	Fieldobs
106	Barnacle	Fieldobs
91	Barnacle	Fieldobs
263	Barnacle	Fieldobs
72	Barnacle	Fieldobs
66	Barnacle	Fieldobs
220	Barnacle	Fieldobs
145	Barnacle	Fieldobs
263	Barnacle	Fieldobs
93	Barnacle	Fieldobs
96	Barnacle	Fieldobs
288	Barnacle	Fieldobs
144	Barnacle	Fieldobs
142	Barnacle	Fieldobs
209	Barnacle	Fieldobs
104	Barnacle	Fieldobs
163	Barnacle	Fieldobs
335	Barnacle	Fieldobs
101	Barnacle	Fieldobs
124	Barnacle	Fieldobs
112	Barnacle	Fieldobs
277	Barnacle	Fieldobs
52	Barnacle	Fieldobs
94	Barnacle	Fieldobs
56	Barnacle	Fieldobs
125	Barnacle	Fieldobs
108	Barnacle	Fieldobs
145	Barnacle	Fieldobs
138	Barnacle	Fieldobs
263	Barnacle	Fieldobs
146	Barnacle	Fieldobs
265	Barnacle	Fieldobs
92	Barnacle	Fieldobs
144	Barnacle	Fieldobs
85	Barnacle	Fieldobs
112	Barnacle	Fieldobs
139	Barnacle	Fieldobs
147	Barnacle	Fieldobs
243	Barnacle	Fieldobs
143	Barnacle	Fieldobs
192	Barnacle	Fieldobs
111	Barnacle	Fieldobs
94	Barnacle	Fieldobs
147	Barnacle	Fieldobs
127	Barnacle	Fieldobs
405	Barnacle	Fieldobs
155	Barnacle	Fieldobs
263	Barnacle	Fieldobs
225	Barnacle	Fieldobs
79	Barnacle	Fieldobs
226	Barnacle	Fieldobs
152	Barnacle	Fieldobs
89	Barnacle	Fieldobs
310	Barnacle	Fieldobs
142	Barnacle	Fieldobs
192	Barnacle	Fieldobs
105	Barnacle	Fieldobs
51	Barnacle	Fieldobs
207	Barnacle	Fieldobs
149	Barnacle	Fieldobs
135	Barnacle	Fieldobs
96	Barnacle	Fieldobs
246	Barnacle	Fieldobs
203	Barnacle	Fieldobs
189	Barnacle	Fieldobs
408	Barnacle	Fieldobs
106	Barnacle	Fieldobs
297	Barnacle	Fieldobs
102	Barnacle	Fieldobs
109	Barnacle	Fieldobs
364	Barnacle	Fieldobs
98	Barnacle	Fieldobs
98	Barnacle	Fieldobs
49	Barnacle	Fieldobs
96	Barnacle	Fieldobs
200	Barnacle	Fieldobs
116	Barnacle	Fieldobs
145	Barnacle	Fieldobs
168	Barnacle	Fieldobs
263	Barnacle	Fieldobs
121	Barnacle	Fieldobs
118	Barnacle	Fieldobs
108	Barnacle	Fieldobs
90	Barnacle	Fieldobs
90	Barnacle	Fieldobs
199	Barnacle	Fieldobs
189	Barnacle	Fieldobs
145	Barnacle	Fieldobs
131	Barnacle	Fieldobs
134	Barnacle	Fieldobs
408	Barnacle	Fieldobs
199	Barnacle	Fieldobs
145	Barnacle	Fieldobs
94	Barnacle	Fieldobs
94	Barnacle	Fieldobs
265	Barnacle	Fieldobs
105	Barnacle	Fieldobs
405	Barnacle	Fieldobs
241	Barnacle	Fieldobs
310	Barnacle	Fieldobs
112	Barnacle	Fieldobs
72	Barnacle	Fieldobs
251	Barnacle	Fieldobs
111	Barnacle	Fieldobs
71	Barnacle	Fieldobs
177	Barnacle	Fieldobs
158	Barnacle	Fieldobs
288	Barnacle	Fieldobs
94	Barnacle	Fieldobs
200	Barnacle	Fieldobs
263	Barnacle	Fieldobs
121	Barnacle	Fieldobs
83	Barnacle	Fieldobs
262	Barnacle	Fieldobs
94	Barnacle	Fieldobs
200	Barnacle	Fieldobs
135	Barnacle	Fieldobs
84	Barnacle	Fieldobs
56	Barnacle	Fieldobs
120	Barnacle	Fieldobs
192	Barnacle	Fieldobs
133	Barnacle	Fieldobs
265	Barnacle	Fieldobs
107	Barnacle	Fieldobs
40	Barnacle	Fieldobs
133	Barnacle	Fieldobs
97	Barnacle	Fieldobs
107	Barnacle	Fieldobs
139	Barnacle	Fieldobs
262	Barnacle	Fieldobs
205	Barnacle	Fieldobs
98	Barnacle	Fieldobs
97	Barnacle	Fieldobs
94	Barnacle	Fieldobs
263	Barnacle	Fieldobs
138	Barnacle	Fieldobs
102	Barnacle	Fieldobs
84	Barnacle	Fieldobs
192	Barnacle	Fieldobs
46	Barnacle	Fieldobs
192	Barnacle	Fieldobs
121	Barnacle	Fieldobs
263	Barnacle	Fieldobs
84	Barnacle	Fieldobs
105	Barnacle	Fieldobs
98	Barnacle	Fieldobs
207	Barnacle	Fieldobs
49	Barnacle	Fieldobs
211	Barnacle	Fieldobs
133	Barnacle	Fieldobs
120	Barnacle	Fieldobs
157	Barnacle	Fieldobs
81	Barnacle	Fieldobs
87	Barnacle	Fieldobs
162	Barnacle	Fieldobs
114	Barnacle	Fieldobs
153	Barnacle	Fieldobs
152	Barnacle	Fieldobs
156	Barnacle	Fieldobs
101	Barnacle	Fieldobs
123	Barnacle	Fieldobs
196	Barnacle	Fieldobs
202	Barnacle	Fieldobs
98	Barnacle	Fieldobs
223	Barnacle	Fieldobs
98	Barnacle	Fieldobs
143	Barnacle	Fieldobs
113	Barnacle	Fieldobs
158	Barnacle	Fieldobs
114	Barnacle	Fieldobs
183	Barnacle	Fieldobs
186	Barnacle	Fieldobs
124	Barnacle	Fieldobs
138	Barnacle	Fieldobs
149	Barnacle	Fieldobs
248	Barnacle	Fieldobs
406	Barnacle	Fieldobs
159	Barnacle	Fieldobs
263	Barnacle	Fieldobs
251	Barnacle	Fieldobs
107	Barnacle	Fieldobs
245	Barnacle	Fieldobs
52	Barnacle	Fieldobs
132	Pinkfoot	Fieldobs
93	Pinkfoot	Fieldobs
205	Pinkfoot	Fieldobs
407	Pinkfoot	Fieldobs
407	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
277	Pinkfoot	Fieldobs
251	Pinkfoot	Fieldobs
408	Pinkfoot	Fieldobs
205	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
220	Pinkfoot	Fieldobs
406	Pinkfoot	Fieldobs
159	Pinkfoot	Fieldobs
99	Pinkfoot	Fieldobs
245	Pinkfoot	Fieldobs
72	Pinkfoot	Fieldobs
288	Pinkfoot	Fieldobs
761	Pinkfoot	Fieldobs
405	Pinkfoot	Fieldobs
147	Pinkfoot	Fieldobs
185	Pinkfoot	Fieldobs
199	Pinkfoot	Fieldobs
192	Pinkfoot	Fieldobs
262	Pinkfoot	Fieldobs
408	Pinkfoot	Fieldobs
189	Pinkfoot	Fieldobs
243	Pinkfoot	Fieldobs
364	Pinkfoot	Fieldobs
209	Pinkfoot	Fieldobs
159	Pinkfoot	Fieldobs
203	Pinkfoot	Fieldobs
139	Pinkfoot	Fieldobs
188	Pinkfoot	Fieldobs
178	Pinkfoot	Fieldobs
282	Pinkfoot	Fieldobs
243	Pinkfoot	Fieldobs
241	Pinkfoot	Fieldobs
80	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
209	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
119	Pinkfoot	Fieldobs
406	Pinkfoot	Fieldobs
209	Pinkfoot	Fieldobs
146	Pinkfoot	Fieldobs
260	Pinkfoot	Fieldobs
241	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
220	Pinkfoot	Fieldobs
252	Pinkfoot	Fieldobs
148	Pinkfoot	Fieldobs
405	Pinkfoot	Fieldobs
97	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
406	Pinkfoot	Fieldobs
387	Pinkfoot	Fieldobs
203	Pinkfoot	Fieldobs
116	Pinkfoot	Fieldobs
217	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
109	Pinkfoot	Fieldobs
66	Pinkfoot	Fieldobs
139	Pinkfoot	Fieldobs
112	Pinkfoot	Fieldobs
132	Pinkfoot	Fieldobs
93	Pinkfoot	Fieldobs
76	Pinkfoot	Fieldobs
199	Pinkfoot	Fieldobs
213	Pinkfoot	Fieldobs
219	Pinkfoot	Fieldobs
157	Pinkfoot	Fieldobs
78	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
113	Pinkfoot	Fieldobs
376	Pinkfoot	Fieldobs
115	Pinkfoot	Fieldobs
102	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
519	Pinkfoot	Fieldobs
322	Pinkfoot	Fieldobs
219	Pinkfoot	Fieldobs
145	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
83	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
186	Pinkfoot	Fieldobs
202	Pinkfoot	Fieldobs
265	Pinkfoot	Fieldobs
46	Pinkfoot	Fieldobs
125	Pinkfoot	Fieldobs
406	Pinkfoot	Fieldobs
123	Pinkfoot	Fieldobs
405	Pinkfoot	Fieldobs
175	Pinkfoot	Fieldobs
92	Pinkfoot	Fieldobs
109	Pinkfoot	Fieldobs
80	Pinkfoot	Fieldobs
152	Pinkfoot	Fieldobs
121	Pinkfoot	Fieldobs
51	Pinkfoot	Fieldobs
405	Pinkfoot	Fieldobs
279	Pinkfoot	Fieldobs
246	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
236	Pinkfoot	Fieldobs
161	Pinkfoot	Fieldobs
93	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
406	Pinkfoot	Fieldobs
124	Pinkfoot	Fieldobs
105	Pinkfoot	Fieldobs
406	Pinkfoot	Fieldobs
96	Pinkfoot	Fieldobs
94	Pinkfoot	Fieldobs
154	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
112	Pinkfoot	Fieldobs
173	Pinkfoot	Fieldobs
96	Pinkfoot	Fieldobs
115	Pinkfoot	Fieldobs
119	Pinkfoot	Fieldobs
102	Pinkfoot	Fieldobs
310	Pinkfoot	Fieldobs
166	Pinkfoot	Fieldobs
135	Pinkfoot	Fieldobs
120	Pinkfoot	Fieldobs
251	Pinkfoot	Fieldobs
133	Pinkfoot	Fieldobs
223	Pinkfoot	Fieldobs
263	Pinkfoot	Fieldobs
158	Pinkfoot	Fieldobs
199	Pinkfoot	Fieldobs
112	Pinkfoot	Fieldobs
108	Pinkfoot	Fieldobs
96	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
163	Pinkfoot	Fieldobs
85	Pinkfoot	Fieldobs
136	Pinkfoot	Fieldobs
155	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
108	Pinkfoot	Fieldobs
143	Pinkfoot	Fieldobs
200	Pinkfoot	Fieldobs
405	Pinkfoot	Fieldobs
129	Pinkfoot	Fieldobs
335	Pinkfoot	Fieldobs
281	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
107	Pinkfoot	Fieldobs
93	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
71	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
225	Pinkfoot	Fieldobs
189	Pinkfoot	Fieldobs
39	Pinkfoot	Fieldobs
226	Pinkfoot	Fieldobs
295	Pinkfoot	Fieldobs
108	Pinkfoot	Fieldobs
207	Pinkfoot	Fieldobs
138	Pinkfoot	Fieldobs
116	Pinkfoot	Fieldobs
91	Pinkfoot	Fieldobs
251	Pinkfoot	Fieldobs
301	Pinkfoot	Fieldobs
130	Pinkfoot	Fieldobs
86	Pinkfoot	Fieldobs
134	Pinkfoot	Fieldobs
126	Pinkfoot	Fieldobs
92	Pinkfoot	Fieldobs
45	Pinkfoot	Fieldobs
405	Pinkfoot	Fieldobs
111	Pinkfoot	Fieldobs
79	Pinkfoot	Fieldobs
167	Pinkfoot	Fieldobs
95	Pinkfoot	Fieldobs
93	Pinkfoot	Fieldobs
131	Pinkfoot	Fieldobs
81	Pinkfoot	Fieldobs
164	Pinkfoot	Fieldobs
162	Pinkfoot	Fieldobs
279	Pinkfoot	Fieldobs
106	Pinkfoot	Fieldobs
97	Pinkfoot	Fieldobs
135	Pinkfoot	Fieldobs
158	Pinkfoot	Fieldobs
542	Pinkfoot	Fieldobs
224	Pinkfoot	Fieldobs
37	Pinkfoot	Fieldobs
408	Pinkfoot	Fieldobs
